VDS_ID,VDS_SECTN_,LINK_ID_da,LINK_ID,F_NODE,T_NODE,LANES_,ROAD_RANK_,ROAD_TYPE_,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,MAX_SPD_,REST_VEH_,REST_W_,REST_H_,LENGTH,REMARK_,geometry
VDS0113,VL1880000214,AN3017060400,1850205700,1850065100,1850065200,3.0,104,000,6,도안동로,0,0,000,60.0,0,0.0,0.0,526.631639578,,POINT (127.3481107 36.32351431)
VDS0114,VL1880000215,AW3017060800,1850201900,1850064600,1850063000,3.0,104,000,20,도안중로,0,0,000,60.0,0,0.0,0.0,303.494534435,,POINT (127.3446491 36.31117186)
VDS0115,VL1880000216,AE3017060800,1850197800,1850015100,1850062800,3.0,104,000,20,도안중로,0,0,000,60.0,0,0.0,0.0,332.355453407,,POINT (127.3433037 36.30919403)
VDS0116,VL1880000217,AE3020099700,1860005501,1860002301,1860002300,3.0,103,000,32,일반국도32호선,0,0,000,70.0,0,0.0,0.0,371.189427684,계룡로,POINT (127.29154408299085 36.359972532092954)
VDS0117,VL1880000218,AW3020009700,1860005601,1860002300,1860002301,3.0,103,000,32,일반국도32호선,0,0,000,70.0,0,0.0,0.0,368.4889612,계룡로,POINT (127.29190803973503 36.3600898476515)
VDS0118,VL1880000224,AE3011012401,1830011305,1830004903,1830004901,2.0,103,000,4,일반국도4호선,0,0,000,70.0,0,0.0,0.0,170.173947921,옥천길,POINT (127.49297422659306 36.34478585372469)
VDS0118,VL1880000223,AW3011012401,1830011405,1830004901,1830004903,2.0,103,000,4,일반국도4호선,0,0,000,70.0,0,0.0,0.0,168.878552496,옥천길,POINT (127.49269078784538 36.344781430918985)
VDS0119,VL1880000225,AS3020086302,1860000402,1860000501,1860000304,1.0,103,000,4,일반국도4호선,0,0,000,40.0,0,0.0,0.0,1823.72408638,계백로,POINT (127.29098 36.27190598)
VDS0120,VL1880000226,AN3020086302,1860000302,1860000304,1860000501,2.0,103,000,4,일반국도4호선,0,0,000,80.0,0,0.0,0.0,1819.54110853,계백로,POINT (127.291112 36.27165198)
VDS0121,VL1880000227,AS3020016500,1860403000,1865863300,1860003102,4.0,105,000,32,국가지원지방도32호선,0,0,000,70.0,0,0.0,0.0,452.844568844,,POINT (127.338816 36.36649298)
VDS0122,VL1880000228,AN3020005100,1860403200,1860003102,1865863300,4.0,105,000,32,국가지원지방도32호선,0,0,000,70.0,0,0.0,0.0,452.842425663,,POINT (127.3391 36.36641998)
VDS0123,VL1880000229,AW3017060100,1850209500,1850066700,1850066500,4.0,104,003,10,도안호수교,0,0,000,60.0,0,0.0,0.0,361.38014994,,POINT (127.352836 36.33224598)
VDS0124,VL1880000230,AE3017060100,1850209600,1850066500,1850066700,4.0,104,003,10,도안호수교,0,0,000,60.0,0,0.0,0.0,364.115704809,,POINT (127.352844 36.33199698)
VDS0125,VL1880000231,AN3023003710,1870362400,1870021800,1870132200,3.0,107,000,-,구즉세종로,0,0,000,80.0,0,0.0,0.0,2392.38406456,,POINT (127.41590852261147 36.422445548468176)
VDS0126,VL1880000232,AS3023099820,1870362300,1870132200,1870021800,3.0,107,000,-,구즉세종로,0,0,000,80.0,0,0.0,0.0,2374.41504496,,POINT (127.41590876671796 36.42215890268048)
VDS0127,VL1880000233,AE3017097201,1850234600,1850010000,1850077000,3.0,104,000,54,구봉로,0,0,000,60.0,0,0.0,0.0,444.842240869,,POINT (127.3437712 36.29732628)
VDS0128,VL1880000234,AW3017097201,1850234500,1850077000,1850010000,3.0,104,000,54,구봉로,0,0,000,60.0,0,0.0,0.0,443.575419416,,POINT (127.343513 36.29758458)
VDS0129,VL1880000236,AN3014009500,1840027600,1840010000,1840001700,2.0,104,000,-,보문로,0,0,000,50.0,0,0.0,0.0,466.035833805,,POINT (127.42716567141741 36.31577783593141)
VDS0129,VL1880000235,AS3014009500,1840027500,1840001700,1840010000,2.0,104,000,-,보문로,0,0,000,50.0,0,0.0,0.0,477.113282438,,POINT (127.42701975718586 36.31563016556694)
VDS0001,VL1860000001,AS3020083000,1860015003,1860006902,1860006901,2.0,106,000,608,구즉로,0,0,000,60.0,0,0.0,0.0,290.837777205,,POINT (127.38400732022853 36.44654557837441)
VDS0001,VL1860000002,AN3020083000,1860014903,1860006901,1860006902,2.0,106,000,608,구즉로,0,0,000,60.0,0,0.0,0.0,283.840134426,,POINT (127.38413019965841 36.44657040706733)
VDS0002,VL1870000003,AE3023010800,1870009000,1870004400,1870004100,1.0,105,000,32,대청길,0,0,000,30.0,0,0.0,0.0,262.360467602,,POINT (127.43569850764523 36.453433838494746)
VDS0002,VL1870000003,AW3023010800,1870009000,1870004400,1870004100,1.0,105,000,32,대청길,0,0,000,30.0,0,0.0,0.0,262.360467602,,POINT (127.43569850764523 36.453433838494746)
VDS0004,VL1870000006,AN3020092100,1860013900,1860006400,1860006600,3.0,105,000,32,금병로,0,0,000,70.0,0,0.0,0.0,341.58454486,,POINT (127.39018740569851 36.435174251910276)
VDS0016,VL1850000018,AN3017000700,1850012300,1850005300,1850005400,4.0,105,000,57,대덕대로,0,0,000,60.0,0,0.0,0.0,274.148603185,,POINT (127.37951798446626 36.36601055574896)
VDS0002,VL1870000004,AE3023010800,1870008900,1870004100,1870004400,1.0,105,000,32,대청길,0,0,000,30.0,0,0.0,0.0,260.46350321,,POINT (127.38400732022853 36.44654557837441)
VDS0002,VL1870000004,AW3023010800,1870008900,1870004100,1870004400,1.0,105,000,32,대청길,0,0,000,30.0,0,0.0,0.0,260.46350321,,POINT (127.43575217033775 36.45333461941843)
VDS0007,VL1860000009,AW3020002800,1860010801,1860005101,1860005100,3.0,105,000,32,금병로,0,0,000,70.0,0,0.0,0.0,755.877581516,,POINT (127.36502076715661 36.403668681261664)
VDS0015,VL1850000017,AS3017094300,1850012502,1850005500,1850005401,4.0,105,000,57,대덕대로,0,0,000,60.0,0,0.0,0.0,149.432630521,,POINT (127.37944111911246 36.37030464207204)
VDS0044,VL1850000048,AN3017023800,1850052100,1850018100,1850019100,1.0,104,000,41,가장로,0,0,000,40.0,0,0.0,0.0,412.669252605,,POINT (127.38025157046944 36.32707633751994)
VDS0038,VL1830000041,AS3011099502,1830009800,1830004300,1830004200,4.0,104,000,17,계족로,0,0,000,60.0,0,0.0,0.0,335.654555399,,POINT (127.43918750822544 36.33510435681634)
VDS0039,VL1830000042,AN3011099502,1830009700,1830004200,1830004300,4.0,104,000,17,계족로,0,0,000,60.0,0,0.0,0.0,338.026362985,,POINT (127.43931570115117 36.33513684685156)
VDS0012,VL1870000014,AW3020002600,1860122100,1860043500,1860042900,2.0,104,004,43,문지로,0,0,000,70.0,0,0.0,0.0,526.209997536,,POINT (127.38449370560475 36.38908829336782)
VDS0011,VL1870000013,AE3020002600,1860122200,1860042900,1860043500,2.0,104,004,43,문지로,0,0,000,70.0,0,0.0,0.0,529.648323882,,POINT (127.38451053768425 36.38898050435854)
VDS0024,VL1850000027,AW3017092900,1850134200,1850041000,1850041200,4.0,104,000,48,한밭대로,0,0,000,60.0,0,0.0,0.0,167.695477134,,POINT (127.36297915869987 36.358546791246944)
VDS0036,VL1860000039,AW3011011500,1830031500,1830013300,1830012600,4.0,104,000,17,동서로,0,0,000,60.0,0,0.0,0.0,199.712032194,,POINT (127.42028856580392 36.34005226922225)
VDS0017,VL1860000020,AE3020004300,1860082200,1860029800,1860031900,2.0,104,000,21,대학로,0,0,000,70.0,0,0.0,0.0,740.9886667170001,,POINT (127.367361884541 36.3673177959257)
VDS0019,VL1850000022,AE3017000900,1850146200,1850044800,1850044700,2.0,104,000,19,둔산대로,0,0,000,70.0,0,0.0,0.0,80.6749989668,,POINT (127.37622015857343 36.364802441023265)
VDS0026,VL1850000029,AE3017005600,1850128800,1850039700,1850039600,3.0,104,000,48,한밭대로,0,0,000,60.0,0,0.0,0.0,450.825783874,,POINT (127.39263512343743 36.3574573816034)
VDS0018,VL1850000021,AW3017000800,1850146900,1850044900,1850045000,4.0,104,000,19,둔산대로,0,0,000,70.0,0,0.0,0.0,470.59838906,,POINT (127.37165731031256 36.36489545767444)
VDS0029,VL1850000032,AE3023006800,1850127000,1870008300,1870008800,5.0,104,000,19,한밭대로,0,0,000,60.0,0,0.0,0.0,464.610416595,,POINT (127.40756689150135 36.35736265414665)
VDS0046,VL1850000050,AN3020087400,1860025500,1860011200,1860011400,3.0,104,000,2,진잠옛길,0,0,000,70.0,0,0.0,0.0,130.047721299,,POINT (127.3144454095766 36.3182762581101)
VDS0045,VL1850000049,AS3020010700,1860025600,1860011400,1860011200,3.0,104,000,2,진잠옛길,0,0,000,70.0,0,0.0,0.0,129.648357935,,POINT (127.31431694054713 36.31824638341142)
VDS0040,VL1830000043,AN3011006400,1830029500,1830011500,1830013800,2.0,104,000,32,자양로,0,0,000,50.0,0,0.0,0.0,662.044931156,,POINT (127.44893458634395 36.33980094942263)
VDS0040,VL1830000044,AN3011006400,1830029600,1830013800,1830011500,2.0,104,000,32,자양로,0,0,000,50.0,0,0.0,0.0,651.278932135,,POINT (127.4488032360409 36.33980219352429)
VDS0042,VL1850000046,AN3017088600,1850056900,1850019300,1850020500,2.0,104,000,-,배재로,0,0,000,70.0,0,0.0,0.0,516.663244416,,POINT (127.37122307159086 36.33161680043487)
VDS0037,VL1860000040,AE3011011500,1830031600,1830012600,1830013300,4.0,104,000,17,동서로,0,0,000,60.0,0,0.0,0.0,200.237044271,,POINT (127.42038421555235 36.339976706107144)
VDS0017,VL1860000019,AW3020004300,1860078700,1860029800,1860028700,2.0,104,000,21,대학로,0,0,000,70.0,0,0.0,0.0,690.609130346,,POINT (127.36052100970868 36.36390075564234)
VDS0013,VL1870000015,AN3023003702,1870055200,1870021400,1870021500,3.0,104,000,-,수척골길,0,0,000,80.0,0,0.0,0.0,767.282969298,,POINT (127.41256074562762 36.382555977770664)
VDS0014,VL1870000016,AS3023003702,1870055300,1870021500,1870021400,3.0,104,000,-,수척골길,0,0,000,80.0,0,0.0,0.0,765.659954022,,POINT (127.41242747127619 36.382564713460596)
VDS0049,VL1840000053,AW3014016300,1840024800,1840009500,1840009200,2.0,104,000,13,문화로,0,0,000,60.0,0,0.0,0.0,323.232173992,,POINT (127.39434534441396 36.31153049521606)
VDS0041,VL1850000045,AS3017088600,1850056800,1850020500,1850019300,1.0,104,000,-,배재로,0,0,000,30.0,0,0.0,0.0,518.265354799,,POINT (127.37109230833578 36.33163980717552)
VDS0020,VL1850000023,AW3017001300,1850144900,1850044600,1850044300,4.0,104,000,19,둔산대로,0,0,000,70.0,0,0.0,0.0,309.189160123,,POINT (127.39195087756444 36.36475646246185)
VDS0028,VL1850000031,AW3023007100,1870020200,1870009500,1870009400,5.0,104,000,19,한밭대로,0,0,000,60.0,0,0.0,0.0,130.655092904,,POINT (127.4246447349137 36.35906562145853)
VDS0027,VL1850000030,AW3017005200,1850130100,1850039900,1850040000,3.0,104,000,48,한밭대로,0,0,000,60.0,0,0.0,0.0,340.33114911,,POINT (127.38477326038202 36.35765308241775)
VDS0031,VL1850000034,AN3017010400,1850119900,1850037100,1850038000,2.0,104,000,61,버드내길,0,0,000,70.0,0,0.0,0.0,149.029909397,,POINT (127.40191944051747 36.35509604900274)
VDS0021,VL1850000024,AE3017093800,1850144600,1850044400,1850044300,4.0,104,000,19,둔산대로,0,0,000,70.0,0,0.0,0.0,575.546859821,,POINT (127.3870216691902 36.364650097116)
VDS0030,VL1850000033,AS3017010400,1850119800,1850038000,1850037100,2.0,104,000,61,버드내길,0,0,000,70.0,0,0.0,0.0,145.311176209,,POINT (127.40178768855242 36.35507803058367)
VDS0025,VL1850000028,AE3017032900,1850133900,1850041000,1850040900,4.0,104,000,48,한밭대로,0,0,000,60.0,0,0.0,0.0,409.116032562,,POINT (127.3661321041095 36.35802506034418)
VDS0043,VL1850000047,AS3017023800,1850052000,1850019100,1850018100,3.0,104,000,41,가장로,0,0,000,60.0,0,0.0,0.0,416.007248135,,POINT (127.38012851016259 36.32712010921758)
VDS0023,VL1860000026,AE3020093100,1860072900,1860028100,1860026900,5.0,104,000,19,한밭대로,0,0,000,60.0,0,0.0,0.0,410.488834737,,POINT (127.34981072988211 36.36027625202152)
VDS0022,VL1860000025,AW3020093100,1860073000,1860026900,1860028100,5.0,104,000,19,한밭대로,0,0,000,60.0,0,0.0,0.0,407.184228599,,POINT (127.34984853173314 36.36037964976988)
VDS0050,VL1840000054,AE3014016300,1840024700,1840009200,1840009500,2.0,104,000,13,문화로,0,0,000,60.0,0,0.0,0.0,323.115197909,,POINT (127.39438587565462 36.31142743377144)
VDS0048,VL1850000052,AW3017026900,1850006400,1850002700,1850002600,1.0,103,000,4,일반국도4호선,0,0,000,30.0,0,0.0,0.0,546.887946181,계백로,POINT (127.3773588873932 36.31196317899147)
VDS0034,VL1850000037,AE3017018100,1850006900,1850003000,1850002900,4.0,103,000,32,일반국도32호선,0,0,000,60.0,0,0.0,0.0,511.162471056,계룡로,POINT (127.39520232293813 36.336609963015306)
VDS0035,VL1850000038,AW3017018100,1850007000,1850002900,1850003000,4.0,103,000,32,일반국도32호선,0,0,000,60.0,0,0.0,0.0,511.239953559,계룡로,POINT (127.39529794872477 36.33668558067578)
VDS0047,VL1850000051,AE3017026900,1850006300,1850002600,1850002700,4.0,103,000,4,일반국도4호선,0,0,000,60.0,0,0.0,0.0,548.054265084,계백로,POINT (127.37740988811288 36.31186236710471)
VDS0051,VL1840000055,AW3011010000,1830005103,1830002301,1830002300,2.0,103,000,17,일반국도17호선,0,0,000,40.0,0,0.0,0.0,293.576237583,가오동길,POINT (127.44089264596272 36.314024617200864)
VDS0033,VL1830000036,AN3011001200,1830035700,1830014100,1870005300,1.0,103,000,17,일반국도17호선,0,0,000,30.0,0,0.0,0.0,620.133064416,신탄진로,POINT (127.4209233042799 36.34441430992005)
VDS0010,VL1870000012,AN3023003400,1870003901,1870001700,1870001701,3.0,103,003,17,일반국도17호선,0,0,000,70.0,0,0.0,0.0,495.044346365,신탄진로,POINT (127.42362076091285 36.40660705943476)
VDS0009,VL1870000011,AS3023013900,1870004001,1870001701,1870001700,3.0,103,003,17,일반국도17호선,0,0,000,70.0,0,0.0,0.0,497.945902483,신탄진로,POINT (127.42348913515171 36.406635569462544)
VDS0032,VL1870000035,AS3011001200,1830035800,1870005300,1830014100,3.0,103,000,17,일반국도17호선,0,0,000,50.0,0,0.0,0.0,621.02839103,신탄진로,POINT (127.420837272598 36.34433147069677)
VDS0005,VL1860000007,AS3020090000,1860198200,1865829700,1860045200,2.0,104,000,7,조치원길,0,0,000,80.0,0,0.0,0.0,460.764055969,,POINT (127.31065027696854 36.39772755924036)
VDS0006,VL1860000008,AN3020090000,1860198500,1860045200,1865829700,2.0,104,000,7,조치원길,0,0,000,80.0,0,0.0,0.0,460.599206554,,POINT (127.31077087082573 36.397774360734864)
